analysis3
t	x	y
0.0	1.1559993540928886E-5	-2.2711185738556012E-8
0.1	1.1523867821210629E-5	-1.4770761368118883E-7
0.2	1.1488153387034386E-5	-3.105744814929233E-7
0.30000000000000004	1.1595332483018486E-5	-3.746068031245257E-7
0.4	1.1637503758574166E-5	-3.382520954021257E-7
0.5	1.158280068740683E-5	-2.2452161208008376E-7
0.6000000000000001	1.1460200395976474E-5	-1.3167360250267732E-7
0.7000000000000001	1.1397767508260539E-5	-2.6582346172616E-9
0.8	1.1377567670192147E-5	8.920772755886017E-8
0.9	1.1493839983166817E-5	1.3709437940557205E-7
1.0	1.1566821238470454E-5	1.589610019853534E-7
1.1	1.1527759375338998E-5	1.4172567112060342E-7
1.2000000000000002	1.1501159939844616E-5	2.424003458342786E-7
1.3	1.1538365757443122E-5	1.8014306424636432E-7
1.4000000000000001	1.1399272378019225E-5	2.1681422550022083E-7
1.5	1.1384708929029594E-5	1.788196100921272E-8
1.6	1.1556741499820152E-5	5.975669859136716E-8
1.7000000000000002	1.1661365286506856E-5	1.1509628921009334E-7
1.8	1.1691470903080812E-5	1.1364491272893658E-7
1.9000000000000001	1.1612801601186962E-5	2.433774316138194E-7
2.0	1.1666704133325187E-5	3.311498624835414E-7
2.1	1.1575582492091213E-5	2.225356954272794E-7
2.2	1.1496241917094341E-5	1.96233473949012E-7
2.3000000000000003	1.1492683184345302E-5	5.194418857784358E-7
2.4000000000000004	1.137417607967933E-5	5.848532419372142E-7
2.5	1.1508109050244453E-5	7.074404690076135E-7
2.6	1.1494149893851741E-5	6.953352484707071E-7
2.7	1.1343292731018187E-5	7.107173201687162E-7
2.8000000000000003	1.1217779277413653E-5	6.183841311131213E-7
2.9000000000000004	1.0957810580547633E-5	6.353885284845145E-7
3.0	1.0906651661584517E-5	7.494157595363794E-7
3.1	1.0984031830718666E-5	8.96244598217575E-7
3.2	1.0951139799796269E-5	1.0005703189315434E-6
3.3000000000000003	1.0803634196929542E-5	1.0502539679690086E-6
3.4000000000000004	1.0729289049533703E-5	1.0009855650797467E-6
3.5	1.0816192412002746E-5	1.0762574237351683E-6
3.6	1.0701573377240569E-5	1.009928622265628E-6
3.7	1.0625464575616415E-5	8.241738952553029E-7
3.8000000000000003	1.0673172838707936E-5	7.731135695278538E-7
3.9000000000000004	1.067201809643928E-5	9.494003028681175E-7
4.0	1.08031507942667E-5	8.685675050093002E-7
4.1000000000000005	1.0719134526017276E-5	7.73416135562716E-7
4.2	1.0960560324516261E-5	5.79306525400198E-7
4.3	1.1088589152456251E-5	5.455823510248066E-7
4.4	1.1255514298319948E-5	6.002421562672141E-7
4.5	1.1454503271906092E-5	7.048360568160891E-7
4.6000000000000005	1.1623477198216855E-5	5.605537827600203E-7
4.7	1.1654613028577717E-5	4.957916724329192E-7
4.800000000000001	1.1510397401809753E-5	5.189617192284551E-7
4.9	1.1600058979098017E-5	6.03193839556508E-7
5.0	1.1605249586208365E-5	3.649842703550853E-7
5.1000000000000005	1.1556892712091413E-5	2.7691615338830986E-7
5.2	1.1530720545776622E-5	2.977112989078836E-7
5.300000000000001	1.1558704990791717E-5	3.578018636870461E-7
5.4	1.1454580214597189E-5	4.340662133487107E-7
5.5	1.1416556039984544E-5	5.527061544840868E-7
5.6000000000000005	1.1378268118076804E-5	6.590832057265105E-7
5.7	1.1615336182588301E-5	7.614925957911717E-7
5.800000000000001	1.1782380529599513E-5	7.914894494345814E-7
5.9	1.1913599431435789E-5	8.222951401492179E-7
6.0	1.1949068655232375E-5	6.493838414171809E-7
6.1000000000000005	1.185509755939308E-5	4.013023985258485E-7
6.2	1.184572200265368E-5	4.183685163098089E-7
6.300000000000001	1.1891044816381771E-5	4.43784854416466E-7
6.4	1.1893754789287058E-5	4.893391345319956E-7
6.5	1.1722328648669775E-5	4.0551995215861976E-7
6.6000000000000005	1.1853471605538614E-5	5.132856108618178E-7
6.7	1.1975227565257504E-5	4.964795927128501E-7
6.800000000000001	1.1900964572604906E-5	5.082608798222639E-7
6.9	1.1663502795403585E-5	4.7198138125906333E-7
7.0	1.1669766946254165E-5	4.0642124642253924E-7
7.1000000000000005	1.1464446858723002E-5	4.4053969192929884E-7
7.2	1.1282237651234708E-5	4.5660409471184546E-7
7.300000000000001	1.1286239045974672E-5	5.434578514536205E-7
7.4	1.1178576048699559E-5	5.621315436195426E-7
7.5	1.1049559307662998E-5	6.245553832882609E-7
7.6000000000000005	1.0969415439027556E-5	7.752466308848146E-7
7.7	1.0802238363247274E-5	9.03410895548436E-7
7.800000000000001	1.0778926151596811E-5	9.359088866770919E-7
7.9	1.0686358931799775E-5	9.157646963046647E-7
8.0	1.0872852691588379E-5	9.939245400783205E-7
8.1	1.1012656100998593E-5	1.063176198733338E-6
8.200000000000001	1.1107616142601289E-5	1.1699066556491395E-6
8.3	1.1220236945961601E-5	1.1447232831372008E-6
8.4	1.1443270563694603E-5	1.1643552040120414E-6
8.5	1.1294426469020943E-5	1.131364109101993E-6
8.6	1.117544091305984E-5	1.0340497625329587E-6
8.700000000000001	1.133859556157247E-5	1.068945966227758E-6
8.8	1.1389730227412882E-5	1.1538906119643318E-6
8.9	1.144039130762639E-5	9.470094999315993E-7
9.0	1.1605136433882544E-5	9.922471783324217E-7
9.1	1.1860309150701192E-5	1.0258784381731112E-6
9.200000000000001	1.1930617756024906E-5	9.093848524806681E-7
9.3	1.1961220824700332E-5	8.669157590145192E-7
9.4	1.1973746501688463E-5	9.146012758971732E-7
9.5	1.1685156986485173E-5	7.837250394917989E-7
9.600000000000001	1.1707982429456615E-5	8.560677001994503E-7
9.700000000000001	1.1603414306115928E-5	1.071868666283277E-6
9.8	1.172828967258407E-5	1.0646692903988207E-6
9.9	1.1768273094976639E-5	1.0329922804943844E-6
10.0	1.1525674473021286E-5	1.1293999323459502E-6
10.100000000000001	1.1553743884422156E-5	1.2432515095472195E-6
10.200000000000001	1.1537269839245771E-5	1.1501182716817354E-6
10.3	1.148146591425386E-5	1.1625241861468066E-6
10.4	1.14828427520921E-5	1.1508675561954087E-6
10.5	1.1531571235872178E-5	1.197322438792106E-6
10.600000000000001	1.1548870760346665E-5	1.086355284701015E-6
10.700000000000001	1.1597748772336138E-5	8.685611106271586E-7
10.8	1.1398771059663297E-5	6.842326181818195E-7
10.9	1.1317192387777184E-5	4.866218862261245E-7
11.0	1.1453441521882213E-5	2.6469129820070675E-7
11.100000000000001	1.1546584978781026E-5	5.574692055558257E-8
11.200000000000001	1.1649518389408442E-5	1.0572402949836997E-7
11.3	1.1630486097866402E-5	2.1598991542982356E-7
11.4	1.1586039442950832E-5	3.313095359778979E-7
11.5	1.1506861964416511E-5	1.5833950748841454E-7
11.600000000000001	1.1571964023656755E-5	2.575945572820166E-7
11.700000000000001	1.1534776745202522E-5	1.343090288770347E-7
11.8	1.1471077774513669E-5	-3.5670569201574995E-8
11.9	1.151494736539298E-5	5.327743831362293E-8
12.0	1.1413335541325926E-5	1.3706090240815275E-7
12.100000000000001	1.1406235896205197E-5	1.408423518170035E-7
12.200000000000001	1.1185440937106017E-5	8.16346070141904E-8
12.3	1.1007569285184197E-5	9.527275641436304E-8
12.4	1.1005955619083797E-5	1.672639367587608E-9
12.5	1.0922590248248439E-5	-4.4051946263861026E-8
12.600000000000001	1.0738907113847332E-5	-1.1077702427318204E-7
12.700000000000001	1.0498197112801884E-5	1.4481802774370524E-8
12.8	1.0462402580054134E-5	7.01452315812889E-8
12.9	1.0544106681741707E-5	1.1725353199280289E-7
13.0	1.0468594573988394E-5	2.257903451476095E-7
13.100000000000001	1.0503311452008807E-5	6.343607019282946E-8
13.200000000000001	1.0481689670989673E-5	8.309167662734138E-10
13.3	1.0426584835926315E-5	2.1881044696254825E-7
13.4	1.0371222258067141E-5	3.8408629230209524E-7
13.5	1.0267789801876293E-5	2.5606722774575554E-7
13.600000000000001	1.0299585128878819E-5	1.6683377959228235E-7
13.700000000000001	1.0328933103452219E-5	2.3379000651338895E-7
13.8	1.034176825973615E-5	3.193457750600955E-7
13.9	1.0398321063074995E-5	9.862158394417179E-8
14.0	1.0385526825189521E-5	5.3602457107727896E-8
14.100000000000001	1.0290676013290571E-5	2.226731928884975E-7
14.200000000000001	1.0161548669253958E-5	1.6731564531092798E-7
14.3	1.0201824284063585E-5	5.892696324826457E-8
14.4	1.0135908658998051E-5	4.3001354764444577E-10
14.5	1.0099585454088982E-5	-9.342017411657666E-8
14.600000000000001	1.0072261314962427E-5	-9.645422043278492E-8
14.700000000000001	1.0180139475695649E-5	-1.691648007918803E-7
14.8	1.0439379373601577E-5	-2.4180031825214694E-7
14.9	1.0337221196590435E-5	-3.7566825252739923E-7
15.0	1.0049355954869087E-5	-2.8931672360517087E-7
15.100000000000001	9.949333708899112E-6	-1.47351947580641E-7
15.200000000000001	9.916241864511395E-6	-3.903738704754328E-8
15.3	9.966205948168674E-6	7.621261509606532E-8
15.4	9.90416267901758E-6	7.280548350434041E-8
15.5	9.989036352970461E-6	1.8257056270926082E-7
15.600000000000001	1.0152243187649353E-5	4.0706652919276343E-7
15.700000000000001	1.0337543042631573E-5	2.838734709863805E-7
15.8	1.0387112118405516E-5	4.4854558878782515E-7
15.9	1.0444498736748383E-5	4.781688368198686E-7
16.0	1.0536092842404787E-5	5.4128942451782E-7
16.1	1.0737493534007454E-5	4.896550420879965E-7
16.2	1.0753031655207363E-5	4.970209669710239E-7
16.3	1.0796884771156232E-5	6.172616026701609E-7
16.400000000000002	1.0778413684833355E-5	6.887918821790086E-7
16.5	1.049627251632046E-5	7.076429333132629E-7
16.6	1.0310904663337902E-5	6.224322395620088E-7
16.7	1.016958406307408E-5	7.072616897296446E-7
16.8	9.92104116569109E-6	7.135521600016182E-7
16.900000000000002	9.921473528011516E-6	7.112166319499686E-7
17.0	1.0068347663966239E-5	8.669671638063804E-7
17.1	1.0017346316885247E-5	8.763709893017482E-7
17.2	9.8463855797063E-6	7.573548135203883E-7
17.3	9.670453734591756E-6	7.06117069750815E-7
17.400000000000002	9.579986777137233E-6	6.840557269236679E-7
17.5	9.384875738509172E-6	5.16268163678112E-7
17.6	9.383445109753087E-6	5.168870811990376E-7
17.7	9.391331080784559E-6	4.872942810399159E-7
17.8	9.299461870939769E-6	5.212995028638183E-7
17.900000000000002	9.066585990139934E-6	4.832205302759951E-7
18.0	8.93229939829558E-6	5.112261344424388E-7
18.1	8.97262352052742E-6	5.550669947302698E-7
18.2	9.070641937742925E-6	6.130186048548621E-7
18.3	9.216247457207782E-6	4.773980297718844E-7
18.400000000000002	9.094798143754631E-6	1.9121157530943567E-7
